seed,condition,epoch,phase,burst,task_count,closed,closure_rate_bps,operational_debt_auc,validation_failures,parse_failures,retries,unresolved_obligations,attempts,char_budget,active_mutation_ids,active_mutation_epoch_count,hard_floor_regression_count
20260509,baseline_fixed,4,longrun_eval,validator_failure_burst,8,0,0,24,8,8,0,8,8,1753,[],0,0
20260509,baseline_fixed,5,longrun_eval,context_budget_pressure,8,0,0,24,8,8,0,8,8,1847,[],0,0
20260509,baseline_fixed,6,longrun_eval,obligation_backlog_burst,8,0,0,24,8,8,0,8,8,2758,[],0,0
20260509,baseline_fixed,7,longrun_eval,stale_format_drift,8,0,0,24,8,8,0,8,8,1851,[],0,0
20260509,baseline_fixed,8,longrun_eval,rollback_receipt_gap,8,0,0,24,8,8,0,8,8,1778,[],0,0
20260509,baseline_fixed,9,longrun_eval,recovery,8,0,0,24,8,8,0,8,8,1862,[],0,0
20260509,baseline_fixed,10,longrun_eval,validator_failure_burst,8,0,0,24,8,8,0,8,8,1859,[],0,0
20260509,baseline_fixed,11,longrun_eval,context_budget_pressure,8,0,0,24,8,8,0,8,8,1771,[],0,0
20260509,baseline_fixed,12,longrun_eval,obligation_backlog_burst,8,0,0,24,8,8,0,8,8,1772,[],0,0
20260509,baseline_fixed,13,longrun_eval,stale_format_drift,8,0,0,24,8,8,0,8,8,1758,[],0,0
20260509,baseline_fixed,14,longrun_eval,rollback_receipt_gap,8,0,0,24,8,8,0,8,8,1764,[],0,0
20260509,baseline_fixed,15,longrun_eval,recovery,8,0,0,24,8,8,0,8,8,2814,[],0,0
20260509,baseline_fixed,16,longrun_eval,validator_failure_burst,8,0,0,24,8,8,0,8,8,1858,[],0,0
20260509,baseline_fixed,17,longrun_eval,context_budget_pressure,8,0,0,24,8,8,0,8,8,1782,[],0,0
20260509,baseline_fixed,18,longrun_eval,obligation_backlog_burst,8,0,0,24,8,8,0,8,8,2727,[],0,0
20260509,baseline_fixed,19,longrun_eval,stale_format_drift,8,0,0,24,8,8,0,8,8,1809,[],0,0
20260509,baseline_fixed,20,longrun_eval,rollback_receipt_gap,8,0,0,24,8,8,0,8,8,1762,[],0,0
20260509,forced_policy_positive_control,4,longrun_eval,validator_failure_burst,8,5,6250,6,3,0,0,3,8,1968,[],0,0
20260509,forced_policy_positive_control,5,longrun_eval,context_budget_pressure,8,5,6250,6,3,0,0,3,8,2038,[],0,0
20260509,forced_policy_positive_control,6,longrun_eval,obligation_backlog_burst,8,5,6250,6,3,0,0,3,8,2486,[],0,0
20260509,forced_policy_positive_control,7,longrun_eval,stale_format_drift,8,6,7500,4,2,0,0,2,8,2123,[],0,0
20260509,forced_policy_positive_control,8,longrun_eval,rollback_receipt_gap,8,6,7500,4,2,0,0,2,8,2088,[],0,0
20260509,forced_policy_positive_control,9,longrun_eval,recovery,8,6,7500,4,2,0,0,2,8,2094,[],0,0
20260509,forced_policy_positive_control,10,longrun_eval,validator_failure_burst,8,5,6250,6,3,0,0,3,8,2041,[],0,0
20260509,forced_policy_positive_control,11,longrun_eval,context_budget_pressure,8,6,7500,4,2,0,0,2,8,2061,[],0,0
20260509,forced_policy_positive_control,12,longrun_eval,obligation_backlog_burst,8,6,7500,4,2,0,0,2,8,2037,[],0,0
20260509,forced_policy_positive_control,13,longrun_eval,stale_format_drift,8,6,7500,4,2,0,0,2,8,2081,[],0,0
20260509,forced_policy_positive_control,14,longrun_eval,rollback_receipt_gap,8,5,6250,6,3,0,0,3,8,1997,[],0,0
20260509,forced_policy_positive_control,15,longrun_eval,recovery,8,5,6250,6,3,0,0,3,8,2519,[],0,0
20260509,forced_policy_positive_control,16,longrun_eval,validator_failure_burst,8,6,7500,4,2,0,0,2,8,2100,[],0,0
20260509,forced_policy_positive_control,17,longrun_eval,context_budget_pressure,8,6,7500,4,2,0,0,2,8,2071,[],0,0
20260509,forced_policy_positive_control,18,longrun_eval,obligation_backlog_burst,8,5,6250,6,3,0,0,3,8,2471,[],0,0
20260509,forced_policy_positive_control,19,longrun_eval,stale_format_drift,8,6,7500,4,2,0,0,2,8,2097,[],0,0
20260509,forced_policy_positive_control,20,longrun_eval,rollback_receipt_gap,8,6,7500,4,2,0,0,2,8,2057,[],0,0
20260509,oasg_adaptive,4,longrun_eval,validator_failure_burst,8,4,5000,11,4,3,0,4,8,1722,"['mut_receipt_template_only_replay_rollback_receipt', 'mut_receipt_template_only_validator_receipt', 'mut_schema_keys_only_json_schema_repair', 'mut_schema_keys_only_obligation_closure']",1,0
20260509,oasg_adaptive,5,longrun_eval,context_budget_pressure,8,4,5000,11,4,3,0,4,8,1790,"['mut_receipt_template_only_replay_rollback_receipt', 'mut_receipt_template_only_validator_receipt', 'mut_schema_keys_only_json_schema_repair', 'mut_schema_keys_only_obligation_closure']",1,0
