condition,epoch,phase,burst,task_count,closed,validation_failures,parse_failures,retries,unresolved_obligations,operational_debt,attempts,latency_ms,char_budget,active_policy_hashes,active_mutation_ids,seed
baseline_fixed,1,warmup,warmup_format_drift,8,7,1,0,0,1,2,8,142669,1925,[],[],20260509
baseline_fixed,2,warmup,warmup_backlog,8,7,1,0,0,1,2,8,223049,1737,[],[],20260509
baseline_fixed,3,warmup,warmup_rollback_gap,8,6,2,0,0,2,4,8,164849,2273,[],[],20260509
baseline_fixed,4,longrun_eval,validator_failure_burst,8,5,3,0,0,3,6,8,214422,2076,[],[],20260509
baseline_fixed,5,longrun_eval,recovery,8,7,1,0,0,1,2,8,178907,2207,[],[],20260509
baseline_fixed,6,longrun_eval,steady,8,7,1,0,0,1,2,8,189845,1841,[],[],20260509
baseline_fixed,7,longrun_eval,steady,8,3,5,0,0,5,10,8,242449,2044,[],[],20260509
baseline_fixed,8,longrun_eval,context_budget_pressure,8,4,4,0,0,4,8,8,246980,2199,[],[],20260509
baseline_fixed,9,longrun_eval,recovery,8,7,1,1,0,1,3,8,245867,1799,[],[],20260509
baseline_fixed,10,longrun_eval,steady,8,6,2,0,0,2,4,8,239787,2051,[],[],20260509
baseline_fixed,11,longrun_eval,steady,8,6,2,0,0,2,4,8,246764,1990,[],[],20260509
baseline_fixed,12,longrun_eval,stale_format_drift,8,3,5,0,0,5,10,8,238583,2027,[],[],20260509
baseline_fixed,13,longrun_eval,recovery,8,2,6,0,0,6,12,8,216205,2276,[],[],20260509
baseline_fixed,14,longrun_eval,steady,8,5,3,0,0,3,6,8,230075,2150,[],[],20260509
baseline_fixed,15,longrun_eval,steady,8,7,1,1,0,1,3,8,270566,1738,[],[],20260509
baseline_fixed,16,longrun_eval,rollback_receipt_gap,8,5,3,0,0,3,6,8,239805,2331,[],[],20260509
baseline_fixed,17,longrun_eval,recovery,8,6,2,1,0,2,5,8,271570,1953,[],[],20260509
baseline_fixed,18,longrun_eval,steady,8,5,3,0,0,3,6,8,265222,2152,[],[],20260509
baseline_fixed,19,longrun_eval,steady,8,5,3,0,0,3,6,8,224354,2072,[],[],20260509
baseline_fixed,20,longrun_eval,steady,8,7,1,0,0,1,2,8,239209,1907,[],[],20260509
oasg_observe_only,1,warmup,warmup_format_drift,8,7,1,0,0,1,2,8,168476,1925,[],[],20260509
oasg_observe_only,2,warmup,warmup_backlog,8,7,1,1,0,1,3,8,305201,1638,[],[],20260509
