variant_id,seed,phase_id,phase_category,phase_role,task_id,epoch,candidate_condition,baseline_condition,baseline_debt,candidate_debt,baseline_cost,candidate_cost,debt_delta,cost_delta,closure_delta,validation_failure_delta,parse_failure_delta,retry_delta
mixed_reversion_only_probe,20260509,phase_d1_mixed_reversion,mixed,post_drift,confirm_mixonly_s20260509_p2_e01_t01,2,oasg_adaptive_from_strong,strong_static_calibrated,4,4,1144,1144,0,0,0,0,0,0
mixed_reversion_only_probe,20260509,phase_d1_mixed_reversion,mixed,post_drift,confirm_mixonly_s20260509_p2_e01_t02,2,oasg_adaptive_from_strong,strong_static_calibrated,4,4,1125,1125,0,0,0,0,0,0
mixed_reversion_only_probe,20260509,phase_d2_mixed_ratio_shift,mixed,post_drift,confirm_mixonly_s20260509_p3_e01_t01,3,oasg_adaptive_from_strong,strong_static_calibrated,4,0,1144,1254,-4,110,1,-1,0,0
mixed_reversion_only_probe,20260509,phase_d2_mixed_ratio_shift,mixed,post_drift,confirm_mixonly_s20260509_p3_e01_t02,3,oasg_adaptive_from_strong,strong_static_calibrated,4,4,1151,1151,0,0,0,0,0,0
full_drift_confirmatory,20260509,phase_b_mild_drift,mild,post_drift,confirm_full_s20260509_p2_e01_t01,2,oasg_adaptive_from_strong,strong_static_calibrated,5,5,1115,1115,0,0,0,0,0,0
full_drift_confirmatory,20260509,phase_b_mild_drift,mild,post_drift,confirm_full_s20260509_p2_e01_t02,2,oasg_adaptive_from_strong,strong_static_calibrated,3,3,1146,1146,0,0,0,0,0,0
full_drift_confirmatory,20260509,phase_c_structural_drift,structural,post_drift,confirm_full_s20260509_p3_e01_t01,3,oasg_adaptive_from_strong,strong_static_calibrated,4,4,1152,1152,0,0,0,0,0,0
full_drift_confirmatory,20260509,phase_c_structural_drift,structural,post_drift,confirm_full_s20260509_p3_e01_t02,3,oasg_adaptive_from_strong,strong_static_calibrated,4,4,1196,1196,0,0,0,0,0,0
full_drift_confirmatory,20260509,phase_d_mixed_reversion,mixed,post_drift,confirm_full_s20260509_p4_e01_t01,4,oasg_adaptive_from_strong,strong_static_calibrated,4,0,1151,1193,-4,42,1,-1,0,0
full_drift_confirmatory,20260509,phase_d_mixed_reversion,mixed,post_drift,confirm_full_s20260509_p4_e01_t02,4,oasg_adaptive_from_strong,strong_static_calibrated,4,0,1149,1191,-4,42,1,-1,0,0
no_mixed_reversion_ablation,20260509,phase_b_mild_drift,mild,post_drift,confirm_nomix_s20260509_p2_e01_t01,2,oasg_adaptive_from_strong,strong_static_calibrated,0,0,1200,1200,0,0,0,0,0,0
no_mixed_reversion_ablation,20260509,phase_b_mild_drift,mild,post_drift,confirm_nomix_s20260509_p2_e01_t02,2,oasg_adaptive_from_strong,strong_static_calibrated,0,0,1187,1187,0,0,0,0,0,0
no_mixed_reversion_ablation,20260509,phase_c1_structural_drift,structural,post_drift,confirm_nomix_s20260509_p3_e01_t01,3,oasg_adaptive_from_strong,strong_static_calibrated,4,4,1154,1154,0,0,0,0,0,0
no_mixed_reversion_ablation,20260509,phase_c1_structural_drift,structural,post_drift,confirm_nomix_s20260509_p3_e01_t02,3,oasg_adaptive_from_strong,strong_static_calibrated,5,5,1215,1215,0,0,0,0,0,0
no_mixed_reversion_ablation,20260509,phase_c2_structural_surface_shift,structural_surface,post_drift,confirm_nomix_s20260509_p4_e01_t01,4,oasg_adaptive_from_strong,strong_static_calibrated,4,4,1196,1196,0,0,0,0,0,0
no_mixed_reversion_ablation,20260509,phase_c2_structural_surface_shift,structural_surface,post_drift,confirm_nomix_s20260509_p4_e01_t02,4,oasg_adaptive_from_strong,strong_static_calibrated,4,4,1177,1177,0,0,0,0,0,0
delayed_drift_recovery,20260509,phase_c_structural_drift,structural,post_drift,confirm_delay_s20260509_p3_e01_t01,3,oasg_adaptive_from_strong,strong_static_calibrated,4,4,1152,1152,0,0,0,0,0,0
delayed_drift_recovery,20260509,phase_c_structural_drift,structural,post_drift,confirm_delay_s20260509_p3_e01_t02,3,oasg_adaptive_from_strong,strong_static_calibrated,4,4,1154,1154,0,0,0,0,0,0
delayed_drift_recovery,20260509,phase_d_partial_reversion,mixed,post_drift,confirm_delay_s20260509_p4_e01_t01,4,oasg_adaptive_from_strong,strong_static_calibrated,4,4,1146,1146,0,0,0,0,0,0
delayed_drift_recovery,20260509,phase_d_partial_reversion,mixed,post_drift,confirm_delay_s20260509_p4_e01_t02,4,oasg_adaptive_from_strong,strong_static_calibrated,4,4,1125,1125,0,0,0,0,0,0
