variant_id,phase_id,phase_category,condition,task_count,closed,closure_rate_bps,operational_debt_auc,cost_units,cost_to_close_units,closure_adjusted_cost_units,validation_failures,parse_failures,retries,unresolved_obligations,attempts,char_budget,latency_ms,active_mutation_ids,active_mutation_count,active_retirement_ids,retirement_count,hard_floor_regression_count,rollback_failures,evidence_gap,rollback_gap
delayed_drift_recovery,phase_c_structural_drift,structural,strong_static_calibrated,60,30,5000,120,131547,131547,431547,30,0,0,30,60,18076,534996,[],0,[],0,0,0,30,0
delayed_drift_recovery,phase_c_structural_drift,structural,oasg_observe_only_from_strong,60,30,5000,120,131822,131822,431822,30,0,0,30,60,18076,537758,[],0,[],0,0,0,30,0
delayed_drift_recovery,phase_c_structural_drift,structural,rule_adaptive_control,60,30,5000,120,121445,121445,421445,30,0,0,30,60,18342,431288,[],0,[],0,0,0,30,0
delayed_drift_recovery,phase_c_structural_drift,structural,oasg_adaptive_from_strong,60,30,5000,120,126591,126591,426591,30,0,0,30,60,18130,484886,"['mut_policy_tightening_obligation_closure_phase_c_structural_drift', 'mut_schema_keys_only_code_transform_phase_c_structural_drift', 'mut_schema_keys_only_obligation_closure_phase_c_structural_drift']",3,['mut_policy_tightening_obligation_closure_phase_c_structural_drift'],1,0,0,30,0
delayed_drift_recovery,phase_d_partial_reversion,mixed,strong_static_calibrated,60,30,5000,160,114815,114815,414815,30,0,20,30,60,17668,371728,[],0,[],0,0,0,30,0
delayed_drift_recovery,phase_d_partial_reversion,mixed,oasg_observe_only_from_strong,60,30,5000,160,114606,114606,414606,30,0,20,30,60,17668,369649,[],0,[],0,0,0,30,0
delayed_drift_recovery,phase_d_partial_reversion,mixed,rule_adaptive_control,60,30,5000,142,119297,119297,419297,30,2,10,30,60,17462,418660,[],0,[],0,0,0,30,0
delayed_drift_recovery,phase_d_partial_reversion,mixed,oasg_adaptive_from_strong,60,39,6500,124,101592,101592,311592,21,0,20,21,60,16829,247903,"['mut_policy_retirement_obligation_closure_phase_d_partial_reversion', 'mut_schema_keys_only_code_transform_phase_d_partial_reversion', 'mut_schema_keys_only_obligation_closure_phase_d_partial_reversion']",3,['mut_policy_retirement_obligation_closure_phase_d_partial_reversion'],1,0,0,21,0
full_drift_confirmatory,phase_b_mild_drift,mild,strong_static_calibrated,60,20,3333,160,114934,114934,514934,30,20,0,40,60,15731,392337,[],0,[],0,0,0,30,0
full_drift_confirmatory,phase_b_mild_drift,mild,oasg_observe_only_from_strong,60,20,3333,160,114869,114869,514869,30,20,0,40,60,15731,391603,[],0,[],0,0,0,30,0
full_drift_confirmatory,phase_b_mild_drift,mild,rule_adaptive_control,60,30,5000,115,111772,111772,411772,25,5,0,30,60,16144,356530,[],0,[],0,0,0,25,0
full_drift_confirmatory,phase_b_mild_drift,mild,oasg_adaptive_from_strong,60,25,4167,135,109451,109451,459451,25,15,0,35,60,15687,337890,"['mut_schema_keys_only_code_transform_phase_b_mild_drift', 'mut_schema_keys_only_obligation_closure_phase_b_mild_drift', 'mut_strict_json_minimal_code_transform_phase_b_mild_drift']",3,[],0,0,0,25,0
full_drift_confirmatory,phase_c_structural_drift,structural,strong_static_calibrated,60,30,5000,120,130884,130884,430884,30,0,0,30,60,18061,528501,[],0,[],0,0,0,30,0
full_drift_confirmatory,phase_c_structural_drift,structural,oasg_observe_only_from_strong,60,30,5000,120,131225,131225,431225,30,0,0,30,60,18061,531884,[],0,[],0,0,0,30,0
full_drift_confirmatory,phase_c_structural_drift,structural,rule_adaptive_control,60,20,3333,160,134126,134126,534126,40,0,0,40,60,18528,556204,[],0,[],0,0,0,40,0
full_drift_confirmatory,phase_c_structural_drift,structural,oasg_adaptive_from_strong,60,30,5000,120,122474,122474,422474,30,0,0,30,60,18432,440697,"['mut_schema_keys_only_code_transform_phase_c_structural_drift', 'mut_schema_keys_only_obligation_closure_phase_c_structural_drift', 'mut_strict_json_minimal_code_transform_phase_c_structural_drift']",3,[],0,0,0,30,0
full_drift_confirmatory,phase_d_mixed_reversion,mixed,strong_static_calibrated,60,30,5000,160,117215,117215,417215,30,0,20,30,60,17685,395561,[],0,[],0,0,0,30,0
full_drift_confirmatory,phase_d_mixed_reversion,mixed,oasg_observe_only_from_strong,60,30,5000,160,117411,117411,417411,30,0,20,30,60,17685,397541,[],0,[],0,0,0,30,0
full_drift_confirmatory,phase_d_mixed_reversion,mixed,rule_adaptive_control,60,25,4167,154,115529,115529,465529,35,4,5,35,60,16739,388184,[],0,[],0,0,0,35,0
full_drift_confirmatory,phase_d_mixed_reversion,mixed,oasg_adaptive_from_strong,60,36,6000,138,105451,105451,345451,24,0,21,24,60,16858,286226,"['mut_policy_retirement_obligation_closure_phase_d_mixed_reversion', 'mut_policy_tightening_obligation_closure_phase_d_mixed_reversion', 'mut_schema_keys_only_code_transform_phase_d_mixed_reversion', 'mut_schema_keys_only_obligation_closure_phase_d_mixed_reversion']",4,"['mut_policy_retirement_obligation_closure_phase_d_mixed_reversion', 'mut_policy_tightening_obligation_closure_phase_d_mixed_reversion']",2,0,0,24,0
mixed_reversion_only_probe,phase_d1_mixed_reversion,mixed,strong_static_calibrated,60,20,3333,200,110669,110669,510669,40,0,20,40,60,16841,338558,[],0,[],0,0,0,40,0
mixed_reversion_only_probe,phase_d1_mixed_reversion,mixed,oasg_observe_only_from_strong,60,20,3333,200,110413,110413,510413,40,0,20,40,60,16841,335983,[],0,[],0,0,0,40,0
mixed_reversion_only_probe,phase_d1_mixed_reversion,mixed,rule_adaptive_control,60,25,4167,162,116657,116657,466657,35,2,10,35,60,17117,395630,[],0,[],0,0,0,35,0
mixed_reversion_only_probe,phase_d1_mixed_reversion,mixed,oasg_adaptive_from_strong,60,25,4167,180,102191,102191,452191,35,0,20,35,60,16592,256260,"['mut_schema_keys_only_code_transform_phase_d1_mixed_reversion', 'mut_schema_keys_only_obligation_closure_phase_d1_mixed_reversion']",2,[],0,0,0,35,0
