seed,condition,task_count,closed,closure_rate_bps,operational_debt_auc,cost_units,cost_to_close_units,closure_adjusted_cost_units,validation_failures,parse_failures,retries,unresolved_obligations,attempts,char_budget,latency_ms,active_mutation_ids,active_mutation_count,active_retirement_ids,retirement_count,hard_floor_regression_count,rollback_failures,evidence_gap,rollback_gap
20260509,strong_static_calibrated,120,51,4250,308,243427,243427,933427,65,8,16,69,120,34571,889094,[],0,[],0,0,0,65,0
20260509,oasg_observe_only_from_strong,120,51,4250,308,243305,243305,933305,65,8,16,69,120,34571,887900,[],0,[],0,0,0,65,0
20260509,rule_adaptive_control,120,50,4167,289,241287,241287,941287,68,3,5,70,120,34701,866408,[],0,[],0,0,0,68,0
20260509,oasg_adaptive_from_strong,120,59,4917,276,226437,226437,836437,57,6,17,61,120,34321,721761,"['mut_policy_retirement_obligation_closure_phase_d_partial_reversion', 'mut_policy_tightening_obligation_closure_phase_c2_structural_surface_shift', 'mut_policy_tightening_obligation_closure_phase_d_mixed_reversion', 'mut_schema_keys_only_code_transform_phase_b_mild_drift', 'mut_schema_keys_only_code_transform_phase_c1_structural_drift', 'mut_schema_keys_only_code_transform_phase_c2_structural_surface_shift', 'mut_schema_keys_only_code_transform_phase_c_structural_drift', 'mut_schema_keys_only_code_transform_phase_d2_mixed_ratio_shift', 'mut_schema_keys_only_code_transform_phase_d_mixed_reversion', 'mut_schema_keys_only_code_transform_phase_d_partial_reversion', 'mut_schema_keys_only_obligation_closure_phase_b_mild_drift', 'mut_schema_keys_only_obligation_closure_phase_c1_structural_drift', 'mut_schema_keys_only_obligation_closure_phase_c2_structural_surface_shift', 'mut_schema_keys_only_obligation_closure_phase_c_structural_drift', 'mut_schema_keys_only_obligation_closure_phase_d1_mixed_reversion', 'mut_schema_keys_only_obligation_closure_phase_d2_mixed_ratio_shift', 'mut_schema_keys_only_obligation_closure_phase_d_mixed_reversion', 'mut_schema_keys_only_obligation_closure_phase_d_partial_reversion', 'mut_strict_json_minimal_code_transform_phase_c1_structural_drift']",19,"['mut_policy_retirement_obligation_closure_phase_d_partial_reversion', 'mut_policy_tightening_obligation_closure_phase_c2_structural_surface_shift', 'mut_policy_tightening_obligation_closure_phase_d_mixed_reversion']",3,0,0,57,0
20260510,strong_static_calibrated,120,52,4333,304,241503,241503,921503,64,8,16,68,120,34606,869509,[],0,[],0,0,0,64,0
20260510,oasg_observe_only_from_strong,120,52,4333,304,242622,242622,922622,64,8,16,68,120,34606,880660,[],0,[],0,0,0,64,0
20260510,rule_adaptive_control,120,50,4167,290,241301,241301,941301,68,4,5,70,120,34615,867355,[],0,[],0,0,0,68,0
20260510,oasg_adaptive_from_strong,120,61,5083,266,222747,222747,812747,55,6,16,59,120,34275,685252,"['mut_schema_keys_only_code_transform_phase_b_mild_drift', 'mut_schema_keys_only_code_transform_phase_c1_structural_drift', 'mut_schema_keys_only_code_transform_phase_c2_structural_surface_shift', 'mut_schema_keys_only_code_transform_phase_c_structural_drift', 'mut_schema_keys_only_code_transform_phase_d1_mixed_reversion', 'mut_schema_keys_only_code_transform_phase_d2_mixed_ratio_shift', 'mut_schema_keys_only_code_transform_phase_d_mixed_reversion', 'mut_schema_keys_only_code_transform_phase_d_partial_reversion', 'mut_schema_keys_only_obligation_closure_phase_b_mild_drift', 'mut_schema_keys_only_obligation_closure_phase_c1_structural_drift', 'mut_schema_keys_only_obligation_closure_phase_c2_structural_surface_shift', 'mut_schema_keys_only_obligation_closure_phase_c_structural_drift', 'mut_schema_keys_only_obligation_closure_phase_d1_mixed_reversion', 'mut_schema_keys_only_obligation_closure_phase_d2_mixed_ratio_shift', 'mut_schema_keys_only_obligation_closure_phase_d_mixed_reversion', 'mut_schema_keys_only_obligation_closure_phase_d_partial_reversion', 'mut_strict_json_minimal_code_transform_phase_c1_structural_drift']",17,[],0,0,0,55,0
20260511,strong_static_calibrated,120,52,4333,304,241637,241637,921637,64,8,16,68,120,34595,870990,[],0,[],0,0,0,64,0
20260511,oasg_observe_only_from_strong,120,52,4333,304,241306,241306,921306,64,8,16,68,120,34595,867624,[],0,[],0,0,0,64,0
