seed,phase_id,task_id,epoch,candidate_condition,baseline_condition,debt_delta,cost_delta,closure_delta,validation_failure_delta,parse_failure_delta,retry_delta
20260509,phase_b_mild_drift,nonstat_s20260509_p2_e01_t01,3,oasg_adaptive_from_strong,strong_static_calibrated,0,67,0,0,0,0
20260509,phase_b_mild_drift,nonstat_s20260509_p2_e01_t02,3,oasg_adaptive_from_strong,strong_static_calibrated,0,925,0,0,0,0
20260509,phase_b_mild_drift,nonstat_s20260509_p2_e01_t03,3,oasg_adaptive_from_strong,strong_static_calibrated,0,321,0,0,0,0
20260509,phase_b_mild_drift,nonstat_s20260509_p2_e01_t04,3,oasg_adaptive_from_strong,strong_static_calibrated,0,95,0,0,0,0
20260509,phase_b_mild_drift,nonstat_s20260509_p2_e02_t01,4,oasg_adaptive_from_strong,strong_static_calibrated,0,168,0,0,0,0
20260509,phase_b_mild_drift,nonstat_s20260509_p2_e02_t02,4,oasg_adaptive_from_strong,strong_static_calibrated,0,65,0,0,0,0
20260509,phase_b_mild_drift,nonstat_s20260509_p2_e02_t03,4,oasg_adaptive_from_strong,strong_static_calibrated,-1,-1859,0,0,-1,0
20260509,phase_b_mild_drift,nonstat_s20260509_p2_e02_t04,4,oasg_adaptive_from_strong,strong_static_calibrated,0,-2585,0,0,0,0
20260509,phase_c_structural_drift,nonstat_s20260509_p3_e01_t01,5,oasg_adaptive_from_strong,strong_static_calibrated,0,147,0,0,0,0
20260509,phase_c_structural_drift,nonstat_s20260509_p3_e01_t02,5,oasg_adaptive_from_strong,strong_static_calibrated,0,874,0,0,0,0
20260509,phase_c_structural_drift,nonstat_s20260509_p3_e01_t03,5,oasg_adaptive_from_strong,strong_static_calibrated,0,136,0,0,0,0
20260509,phase_c_structural_drift,nonstat_s20260509_p3_e01_t04,5,oasg_adaptive_from_strong,strong_static_calibrated,0,-4300,0,0,0,0
20260509,phase_c_structural_drift,nonstat_s20260509_p3_e02_t01,6,oasg_adaptive_from_strong,strong_static_calibrated,-4,1815,1,-1,0,0
20260509,phase_c_structural_drift,nonstat_s20260509_p3_e02_t02,6,oasg_adaptive_from_strong,strong_static_calibrated,0,119,0,0,0,0
20260509,phase_c_structural_drift,nonstat_s20260509_p3_e02_t03,6,oasg_adaptive_from_strong,strong_static_calibrated,0,-977,0,0,0,0
20260509,phase_c_structural_drift,nonstat_s20260509_p3_e02_t04,6,oasg_adaptive_from_strong,strong_static_calibrated,0,-15,0,0,0,0
20260509,phase_d_mixed_reversion,nonstat_s20260509_p4_e01_t01,7,oasg_adaptive_from_strong,strong_static_calibrated,0,50,0,0,0,0
20260509,phase_d_mixed_reversion,nonstat_s20260509_p4_e01_t02,7,oasg_adaptive_from_strong,strong_static_calibrated,-4,-2015,1,-1,0,0
20260509,phase_d_mixed_reversion,nonstat_s20260509_p4_e01_t03,7,oasg_adaptive_from_strong,strong_static_calibrated,0,1394,0,0,0,0
20260509,phase_d_mixed_reversion,nonstat_s20260509_p4_e01_t04,7,oasg_adaptive_from_strong,strong_static_calibrated,0,1347,0,0,0,0
20260509,phase_d_mixed_reversion,nonstat_s20260509_p4_e02_t01,8,oasg_adaptive_from_strong,strong_static_calibrated,0,1421,0,0,0,0
20260509,phase_d_mixed_reversion,nonstat_s20260509_p4_e02_t02,8,oasg_adaptive_from_strong,strong_static_calibrated,0,-1994,0,0,0,0
20260509,phase_d_mixed_reversion,nonstat_s20260509_p4_e02_t03,8,oasg_adaptive_from_strong,strong_static_calibrated,0,-3,0,0,0,0
20260509,phase_d_mixed_reversion,nonstat_s20260509_p4_e02_t04,8,oasg_adaptive_from_strong,strong_static_calibrated,-4,-2113,1,-1,0,0
20260510,phase_b_mild_drift,nonstat_s20260510_p2_e01_t01,3,oasg_adaptive_from_strong,strong_static_calibrated,0,486,0,0,0,0
20260510,phase_b_mild_drift,nonstat_s20260510_p2_e01_t02,3,oasg_adaptive_from_strong,strong_static_calibrated,1,478,0,0,1,0
20260510,phase_b_mild_drift,nonstat_s20260510_p2_e01_t03,3,oasg_adaptive_from_strong,strong_static_calibrated,0,-2,0,0,0,0
20260510,phase_b_mild_drift,nonstat_s20260510_p2_e01_t04,3,oasg_adaptive_from_strong,strong_static_calibrated,0,-36,0,0,0,0
20260510,phase_b_mild_drift,nonstat_s20260510_p2_e02_t01,4,oasg_adaptive_from_strong,strong_static_calibrated,0,2410,0,0,0,0
20260510,phase_b_mild_drift,nonstat_s20260510_p2_e02_t02,4,oasg_adaptive_from_strong,strong_static_calibrated,0,35,0,0,0,0
20260510,phase_b_mild_drift,nonstat_s20260510_p2_e02_t03,4,oasg_adaptive_from_strong,strong_static_calibrated,0,-2825,0,0,0,0
20260510,phase_b_mild_drift,nonstat_s20260510_p2_e02_t04,4,oasg_adaptive_from_strong,strong_static_calibrated,0,360,0,0,0,0
20260510,phase_c_structural_drift,nonstat_s20260510_p3_e01_t01,5,oasg_adaptive_from_strong,strong_static_calibrated,0,250,0,0,0,0
20260510,phase_c_structural_drift,nonstat_s20260510_p3_e01_t02,5,oasg_adaptive_from_strong,strong_static_calibrated,0,24,0,0,0,0
20260510,phase_c_structural_drift,nonstat_s20260510_p3_e01_t03,5,oasg_adaptive_from_strong,strong_static_calibrated,0,-3603,0,0,0,0
20260510,phase_c_structural_drift,nonstat_s20260510_p3_e01_t04,5,oasg_adaptive_from_strong,strong_static_calibrated,0,103,0,0,0,0
20260510,phase_c_structural_drift,nonstat_s20260510_p3_e02_t01,6,oasg_adaptive_from_strong,strong_static_calibrated,0,230,0,0,0,0
20260510,phase_c_structural_drift,nonstat_s20260510_p3_e02_t02,6,oasg_adaptive_from_strong,strong_static_calibrated,0,-3635,0,0,0,0
20260510,phase_c_structural_drift,nonstat_s20260510_p3_e02_t03,6,oasg_adaptive_from_strong,strong_static_calibrated,0,77,0,0,0,0
20260510,phase_c_structural_drift,nonstat_s20260510_p3_e02_t04,6,oasg_adaptive_from_strong,strong_static_calibrated,0,235,0,0,0,0
