seed,condition,epoch,phase,burst,task_count,closed,closure_rate_bps,operational_debt_auc,validation_failures,parse_failures,retries,unresolved_obligations,attempts,char_budget,active_mutation_ids,active_mutation_epoch_count,hard_floor_regression_count,rollback_failures
20260509,oasg_adaptive_from_strong,4,longrun_eval,schema_drift,8,5,6250,6,3,0,0,3,8,1526,[],0,0,0
20260509,oasg_adaptive_from_strong,5,longrun_eval,validator_burst,8,5,6250,6,3,0,0,3,8,1572,[],0,0,0
20260509,oasg_adaptive_from_strong,6,longrun_eval,context_budget_burst,8,5,6250,6,3,0,0,3,8,1850,[],0,0,0
20260509,oasg_adaptive_from_strong,7,longrun_eval,receipt_family_burst,8,6,7500,4,2,0,0,2,8,1657,[],0,0,0
20260509,oasg_adaptive_from_strong,8,longrun_eval,safe_expression_burst,8,6,7500,4,2,0,0,2,8,1702,[],0,0,0
20260509,oasg_adaptive_from_strong,9,longrun_eval,recovery,8,6,7500,4,2,0,0,2,8,1572,[],0,0,0
20260509,oasg_adaptive_from_strong,10,longrun_eval,schema_drift,8,5,6250,6,3,0,0,3,8,1575,[],0,0,0
20260509,oasg_adaptive_from_strong,11,longrun_eval,validator_burst,8,6,7500,4,2,0,0,2,8,1619,[],0,0,0
20260509,oasg_adaptive_from_strong,12,longrun_eval,context_budget_burst,8,6,7500,4,2,0,0,2,8,1539,[],0,0,0
20260509,oasg_adaptive_from_strong,13,longrun_eval,receipt_family_burst,8,6,7500,4,2,0,0,2,8,1695,[],0,0,0
20260509,oasg_adaptive_from_strong,14,longrun_eval,safe_expression_burst,8,5,6250,6,3,0,0,3,8,1611,[],0,0,0
20260509,oasg_adaptive_from_strong,15,longrun_eval,recovery,8,5,6250,6,3,0,0,3,8,1803,[],0,0,0
20260509,oasg_adaptive_from_strong,16,longrun_eval,schema_drift,8,6,7500,4,2,0,0,2,8,1578,[],0,0,0
20260509,oasg_adaptive_from_strong,17,longrun_eval,validator_burst,8,6,7500,4,2,0,0,2,8,1629,[],0,0,0
20260509,oasg_adaptive_from_strong,18,longrun_eval,context_budget_burst,8,5,6250,6,3,0,0,3,8,1835,[],0,0,0
20260509,oasg_adaptive_from_strong,19,longrun_eval,receipt_family_burst,8,6,7500,4,2,0,0,2,8,1711,[],0,0,0
20260509,oasg_adaptive_from_strong,20,longrun_eval,safe_expression_burst,8,6,7500,4,2,0,0,2,8,1615,[],0,0,0
20260509,observe_only,4,longrun_eval,schema_drift,8,5,6250,6,3,0,0,3,8,1526,[],0,0,0
20260509,observe_only,5,longrun_eval,validator_burst,8,5,6250,6,3,0,0,3,8,1572,[],0,0,0
20260509,observe_only,6,longrun_eval,context_budget_burst,8,5,6250,6,3,0,0,3,8,1850,[],0,0,0
20260509,observe_only,7,longrun_eval,receipt_family_burst,8,6,7500,4,2,0,0,2,8,1657,[],0,0,0
20260509,observe_only,8,longrun_eval,safe_expression_burst,8,6,7500,4,2,0,0,2,8,1702,[],0,0,0
20260509,observe_only,9,longrun_eval,recovery,8,6,7500,4,2,0,0,2,8,1572,[],0,0,0
20260509,observe_only,10,longrun_eval,schema_drift,8,5,6250,6,3,0,0,3,8,1575,[],0,0,0
20260509,observe_only,11,longrun_eval,validator_burst,8,6,7500,4,2,0,0,2,8,1619,[],0,0,0
20260509,observe_only,12,longrun_eval,context_budget_burst,8,6,7500,4,2,0,0,2,8,1539,[],0,0,0
20260509,observe_only,13,longrun_eval,receipt_family_burst,8,6,7500,4,2,0,0,2,8,1695,[],0,0,0
20260509,observe_only,14,longrun_eval,safe_expression_burst,8,5,6250,6,3,0,0,3,8,1611,[],0,0,0
20260509,observe_only,15,longrun_eval,recovery,8,5,6250,6,3,0,0,3,8,1803,[],0,0,0
20260509,observe_only,16,longrun_eval,schema_drift,8,6,7500,4,2,0,0,2,8,1578,[],0,0,0
20260509,observe_only,17,longrun_eval,validator_burst,8,6,7500,4,2,0,0,2,8,1629,[],0,0,0
20260509,observe_only,18,longrun_eval,context_budget_burst,8,5,6250,6,3,0,0,3,8,1835,[],0,0,0
20260509,observe_only,19,longrun_eval,receipt_family_burst,8,6,7500,4,2,0,0,2,8,1711,[],0,0,0
