seed,task_id,epoch,phase,candidate_condition,baseline_condition,debt_delta,closure_delta,validation_failure_delta,parse_failure_delta,retry_delta
20260509,strong_s20260509_e04_t01,4,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e04_t02,4,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e04_t03,4,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e04_t04,4,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e04_t05,4,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e04_t06,4,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e04_t07,4,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e04_t08,4,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e05_t01,5,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e05_t02,5,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e05_t03,5,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e05_t04,5,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e05_t05,5,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e05_t06,5,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e05_t07,5,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e05_t08,5,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e06_t01,6,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e06_t02,6,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e06_t03,6,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e06_t04,6,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e06_t05,6,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e06_t06,6,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e06_t07,6,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e06_t08,6,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e07_t01,7,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e07_t02,7,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e07_t03,7,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e07_t04,7,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e07_t05,7,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e07_t06,7,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e07_t07,7,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e07_t08,7,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e08_t01,8,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
20260509,strong_s20260509_e08_t02,8,longrun_eval,oasg_adaptive_from_strong,strong_static_calibrated,0,0,0,0,0
